mode,n,pearson_r,pearson_p,spearman_r,spearman_p
NOUN,42,-0.15834427288447234,0.31655807389410623,-0.09313865662244429,0.5574259957390251
VERB,123,-0.013502472964091444,0.8821633009975134,-0.026402577242306983,0.771908439717629
ADJ,0,,,,
ANY,150,0.04613390778612311,0.5750739264781939,0.012741220455728806,0.877019740026603
