mode1,mode2,U,p_raw,p_holm
NOUN,ADJ,22500.0,1.0244485185568446e-50,6.146691111341067e-50
NOUN,ANY,0.0,1.0664311273621404e-50,6.146691111341067e-50
VERB,ADJ,22500.0,1.0295675258011386e-50,6.146691111341067e-50
VERB,ANY,3.0,1.1380960547069808e-50,6.146691111341067e-50
ADJ,ANY,0.0,1.0319167422077887e-50,6.146691111341067e-50
NOUN,VERB,3561.0,1.374872694542209e-24,1.374872694542209e-24
