mode1,mode2,p_raw,p_holm
ADJ,ANY,2.133112564195992e-89,1.279867538517595e-88
VERB,ADJ,1.2010565562094195e-57,6.005282781047098e-57
NOUN,ANY,9.433363669544253e-47,3.773345467817701e-46
NOUN,VERB,1.3795495842363643e-21,4.138648752709093e-21
NOUN,ADJ,1.6031338031628253e-14,3.2062676063256505e-14
VERB,ANY,4.1208718759175545e-09,4.1208718759175545e-09
