mode,ppl_orig_mean,ppl_stego_mean,delta_ppl_mean
ANY,115.25351654052734,140.39342753092447,25.139910990397137
NOUN,102.63415772574288,120.55383718581427,17.919679460071382
VERB,115.39091879371705,147.64692325126833,32.25600445755129
